Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,0.0005
step,rew_mean,len_mean,episode_count
198000,-20.45,1137.33,673
199000,-20.49,1135.92,677
200000,-20.51,1134.56,680
201000,-20.51,1134.82,684
202000,-20.53,1135.22,688
203000,-20.53,1134.16,692
204000,-20.53,1132.35,693
205000,-20.51,1130.36,696
206000,-20.48,1134.09,700
207000,-20.45,1137.99,704
208000,-20.45,1139.25,708
209000,-20.45,1140.38,712
210000,-20.46,1140.33,715
211000,-20.5,1138.1,719
212000,-20.5,1138.51,720
213000,-20.48,1141.59,724
214000,-20.47,1144.22,728
215000,-20.48,1142.55,732
216000,-20.51,1136.94,736
217000,-20.54,1133.07,739
218000,-20.55,1133.05,743
219000,-20.56,1131.5,747
220000,-20.56,1132.25,751
221000,-20.56,1134.07,754
222000,-20.56,1136.52,757
223000,-20.56,1136.05,760
224000,-20.58,1134.04,764
225000,-20.61,1133.51,768
226000,-20.66,1127.01,772
227000,-20.64,1125.12,776
228000,-20.61,1125.14,780
229000,-20.62,1123.04,783
230000,-20.59,1120.24,787
231000,-20.59,1122.03,791
232000,-20.57,1124.22,794
233000,-20.57,1122.19,796
234000,-20.58,1119.2,800
235000,-20.61,1114.35,804
236000,-20.66,1108.82,808
237000,-20.67,1105.47,812
238000,-20.67,1107.4,816
239000,-20.67,1102.05,820
240000,-20.66,1100.29,824
241000,-20.69,1094.78,827
242000,-20.67,1095.61,831
243000,-20.68,1096.15,835
244000,-20.68,1095.11,839
245000,-20.68,1094.13,842
246000,-20.68,1093.01,847
247000,-20.68,1091.09,850
248000,-20.69,1087.1,854
249000,-20.69,1085.56,856
250000,-20.68,1085.31,860
251000,-20.68,1085.79,864
252000,-20.68,1088.02,868
253000,-20.66,1089.41,871
254000,-20.65,1090.49,875
255000,-20.66,1090.45,879
256000,-20.66,1091.34,883
257000,-20.68,1092.84,886
258000,-20.69,1088.48,890
259000,-20.68,1088.98,893
260000,-20.71,1087.34,896
261000,-20.71,1084.5,900
262000,-20.71,1083.51,904
263000,-20.71,1082.9,907
264000,-20.68,1086.79,911
265000,-20.68,1085.69,915
266000,-20.68,1087.43,919
267000,-20.69,1089.18,923
268000,-20.7,1089.57,925
269000,-20.66,1097.22,929
270000,-20.66,1097.39,933
271000,-20.67,1096.29,937
272000,-20.66,1093.92,941
273000,-20.65,1093.83,944
274000,-20.64,1093.39,947
275000,-20.62,1095.94,951
276000,-20.61,1099.15,955
277000,-20.6,1100.2,959
278000,-20.56,1105.53,963
279000,-20.56,1100.54,967
280000,-20.56,1101.86,970
281000,-20.57,1102.08,973
282000,-20.59,1103.5,976
283000,-20.6,1103.86,979
284000,-20.59,1103.99,983
285000,-20.6,1099.31,987
286000,-20.6,1098.71,991
287000,-20.62,1095.33,995
288000,-20.63,1097.19,999
289000,-20.61,1101.1,1003
290000,-20.59,1103.32,1007
291000,-20.62,1099.17,1010
292000,-20.61,1101.42,1012
293000,-20.61,1100.76,1016
294000,-20.61,1099.15,1020
295000,-20.61,1099.01,1024
296000,-20.65,1092.74,1028
297000,-20.66,1091.33,1031
298000,-20.65,1094.08,1035
299000,-20.66,1093.9,1039
300000,-20.68,1091.85,1043
301000,-20.66,1098.21,1047
302000,-20.67,1096.13,1050
303000,-20.68,1095.82,1053
304000,-20.69,1093.39,1057
305000,-20.68,1097.0,1061
306000,-20.71,1097.88,1065
307000,-20.71,1098.95,1068
308000,-20.7,1098.97,1070
309000,-20.67,1101.07,1074
310000,-20.65,1099.84,1078
311000,-20.68,1097.47,1082
312000,-20.69,1098.27,1086
313000,-20.69,1101.92,1090
314000,-20.68,1103.24,1093
315000,-20.68,1105.21,1096
