Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,5e-05
step,rew_mean,len_mean,episode_count
170000,-19.0,1854.35,489
171000,-18.98,1877.54,493
172000,-18.97,1878.25,494
173000,-18.92,1896.05,497
174000,-18.9,1904.01,498
175000,-18.91,1904.78,499
176000,-18.82,1931.65,502
177000,-18.81,1937.45,503
178000,-18.76,1958.93,505
179000,-18.69,1978.19,507
180000,-18.69,1978.19,507
181000,-18.63,2007.11,510
182000,-18.59,2015.55,511
183000,-18.56,2021.58,513
184000,-18.53,2038.19,515
185000,-18.51,2049.99,517
186000,-18.45,2064.94,519
187000,-18.43,2064.91,521
188000,-18.43,2064.91,521
189000,-18.31,2088.42,525
190000,-18.31,2088.42,525
191000,-18.32,2097.86,527
192000,-18.3,2113.36,529
193000,-18.28,2120.51,530
194000,-18.21,2127.05,533
195000,-18.21,2125.61,534
196000,-18.21,2130.13,537
197000,-18.22,2128.87,538
198000,-18.13,2155.46,541
199000,-18.13,2155.46,541
200000,-18.18,2153.97,543
201000,-18.14,2165.91,545
202000,-18.12,2181.65,547
203000,-18.14,2182.09,548
204000,-18.16,2188.59,550
205000,-18.15,2189.2,552
206000,-18.12,2192.53,553
207000,-18.15,2194.85,555
208000,-18.13,2202.26,556
209000,-18.11,2227.17,559
210000,-18.07,2238.31,560
211000,-18.06,2243.58,561
212000,-17.99,2261.94,563
213000,-17.99,2261.94,563
214000,-17.95,2282.92,567
215000,-17.95,2282.92,567
216000,-17.95,2289.44,568
217000,-17.84,2311.3,571
218000,-17.84,2311.3,571
219000,-17.74,2327.19,573
220000,-17.67,2345.85,575
221000,-17.67,2345.85,575
222000,-17.67,2352.32,577
223000,-17.64,2367.35,579
224000,-17.64,2367.35,579
225000,-17.66,2385.24,581
226000,-17.63,2404.17,583
227000,-17.61,2409.53,585
228000,-17.61,2409.53,585
229000,-17.56,2418.36,586
230000,-17.51,2431.93,588
231000,-17.53,2443.21,590
232000,-17.51,2442.9,591
233000,-17.49,2458.06,593
234000,-17.49,2458.06,593
235000,-17.51,2478.69,595
236000,-17.5,2492.28,597
237000,-17.5,2495.96,598
238000,-17.43,2514.01,600
239000,-17.41,2518.3,601
240000,-17.38,2525.32,602
241000,-17.32,2529.18,604
242000,-17.34,2531.76,605
243000,-17.38,2543.02,608
244000,-17.38,2543.02,608
245000,-17.35,2554.58,609
246000,-17.27,2573.48,612
247000,-17.27,2573.48,612
248000,-17.27,2573.48,612
249000,-17.27,2587.11,614
250000,-17.18,2616.88,616
251000,-17.21,2621.15,617
252000,-17.24,2627.77,619
253000,-17.22,2638.59,620
254000,-17.21,2650.78,621
255000,-17.22,2659.31,623
256000,-17.22,2665.67,624
257000,-17.22,2665.67,624
258000,-17.19,2684.17,627
259000,-17.17,2688.65,628
260000,-17.15,2692.31,629
261000,-17.09,2718.83,632
262000,-17.09,2718.83,632
263000,-17.07,2726.38,633
264000,-17.0,2749.71,636
265000,-17.0,2749.71,636
266000,-17.0,2756.63,637
267000,-16.94,2767.55,639
268000,-16.89,2782.03,641
269000,-16.89,2782.03,641
270000,-16.79,2802.04,643
271000,-16.79,2802.04,643
272000,-16.75,2820.07,645
273000,-16.65,2830.16,647
274000,-16.65,2830.16,647
275000,-16.59,2846.35,649
276000,-16.53,2855.12,650
277000,-16.48,2862.51,651
278000,-16.45,2885.03,654
279000,-16.45,2885.03,654
280000,-16.4,2888.54,657
281000,-16.4,2889.95,658
282000,-16.4,2889.95,658
283000,-16.32,2904.93,661
284000,-16.34,2902.22,662
285000,-16.34,2902.22,662
286000,-16.26,2910.0,663
287000,-16.19,2924.31,666
288000,-16.19,2924.31,666
289000,-16.19,2924.31,666
290000,-16.15,2942.27,669
291000,-16.09,2957.41,670
292000,-16.14,2946.74,671
293000,-16.17,2951.13,674
294000,-16.17,2951.13,674
295000,-16.18,2950.55,675
296000,-16.13,2959.55,676
297000,-16.02,2974.29,678
298000,-15.98,2980.42,679
299000,-15.94,2974.15,681
300000,-15.9,2979.3,682
301000,-15.93,2967.44,684
302000,-15.9,2971.73,685
303000,-15.9,2971.73,685
304000,-15.89,2969.16,688
305000,-15.92,2968.03,689
306000,-15.96,2967.63,691
307000,-15.94,2972.19,692
308000,-15.94,2972.19,692
309000,-15.89,2976.65,694
310000,-15.78,2993.58,696
311000,-15.78,2993.46,697
312000,-15.72,3000.83,698
313000,-15.71,3002.21,699
314000,-15.69,3002.72,700
315000,-15.65,3013.64,702
316000,-15.6,3022.54,703
317000,-15.6,3025.54,705
318000,-15.58,3022.6,706
319000,-15.56,3027.33,707
320000,-15.57,3030.14,708
321000,-15.56,3032.85,709
322000,-15.54,3041.65,711
323000,-15.6,3038.17,712
324000,-15.57,3036.6,714
325000,-15.59,3034.11,715
326000,-15.6,3024.31,716
327000,-15.53,3029.47,718
328000,-15.53,3029.47,718
329000,-15.53,3030.1,719
330000,-15.45,3047.79,720
331000,-15.4,3059.09,722
332000,-15.4,3059.09,722
333000,-15.33,3071.29,724
334000,-15.28,3077.68,726
335000,-15.28,3077.68,726
336000,-15.27,3084.79,727
337000,-15.23,3094.92,730
338000,-15.23,3094.92,730
339000,-15.26,3094.48,731
340000,-15.26,3094.48,731
341000,-15.22,3112.04,734
342000,-15.22,3112.04,734
343000,-15.16,3122.34,735
344000,-15.16,3141.5,738
345000,-15.16,3141.5,738
346000,-15.16,3141.5,738
347000,-15.07,3160.76,741
